Transaction_ID,Customer_ID,Transaction_Amount,Date,Account_Type,Loan_Amount,Loan_Approval_Status,Transaction_Type,Branch_ID,Transaction_Location,Customer_Age,Customer_Income,Customer_Marital_Status,Customer_Credit_Score,Transaction_Method,Fee_Charged,Transaction_Description,Transaction_Category,Loan_Duration,Interest_Rate,Previous_Loan_Status,Account_Balance,Total_Deposits,Total_Withdrawals,Total_Transactions,Pending_Transactions,Overdraft_Status
1,C001,200,2023-01-01,Savings,1000,Approved,Deposit,B001,New York,35,50000,Single,720,Credit Card,5,Monthly deposit,Income,24,5.0%,Approved,2000,5000,1500,10,No,
2,C002,150,2023-01-02,Checking,,Rejected,Withdrawal,B002,Chicago,45,75000,Married,680,Debit Card,3,ATM withdrawal,Expense,36,4.5%,Rejected,3500,7000,2000,8,Yes,
3,C003,350,2023-01-03,Savings,5000,Approved,Deposit,B001,Boston,28,60000,Single,710,Debit Card,8,Monthly deposit,Income,48,4.8%,Approved,4500,4000,1200,12,No,
4,C001,50,2023-01-04,Savings,,Pending,Withdrawal,B003,New York,35,50000,Single,720,Credit Card,2,ATM withdrawal,Expense,24,5.0%,Approved,1950,5100,1450,9,Yes,
5,C004,1000,2023-01-05,Checking,,Approved,Deposit,B004,Los Angeles,50,85000,Married,690,Debit Card,10,Direct deposit,Income,60,5.5%,Approved,5500,9000,5000,15,No,
6,C005,75,2023-01-06,Savings,2000,Rejected,Withdrawal,B005,Dallas,60,30000,Divorced,640,Debit Card,4,ATM withdrawal,Expense,36,6.0%,Rejected,1500,6000,1200,10,Yes,
7,C006,250,2023-01-07,Checking,,Pending,Deposit,B002,San Francisco,25,45000,Single,730,Credit Card,6,Monthly deposit,Income,48,4.3%,Pending,4000,3500,1000,7,No,
8,C003,500,2023-01-08,Savings,,Approved,Deposit,B001,Los Angeles,28,60000,Single,710,Credit Card,7,Monthly deposit,Income,48,4.8%,Approved,4300,4500,1300,11,No,
9,C007,150,2023-01-09,Investment,10000,Approved,Withdrawal,B004,Miami,40,95000,Married,740,Debit Card,12,Investment withdrawal,Expense,72,3.9%,Approved,7000,15000,7000,20,No,
10,C002,500,2023-01-10,Savings,5000,Rejected,Deposit,B002,Chicago,45,75000,Married,680,Debit Card,3,Monthly deposit,Income,36,4.5%,Rejected,3300,8000,2500,12,Yes,
